epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8446,2.63587,5.8937,1.75454,0.3546,0.00156,0.0024,0.00218,2.10734,4.88208,1.30647,2.61e-05,2.61e-05,2.61e-05
2,21.6777,1.99069,4.26515,1.35119,0.24446,0.52026,0.27202,0.17125,1.74533,2.89978,1.09695,5.6438e-05,5.6438e-05,5.6438e-05
3,26.7526,1.55942,2.1059,1.11198,0.63534,0.60246,0.6246,0.35735,1.58675,5.30943,1.09662,8.66555e-05,8.66555e-05,8.66555e-05
4,32.8701,1.42918,1.24526,1.01802,0.64498,0.73423,0.7491,0.44233,1.47291,3.5052,1.06416,0.000116752,0.000116752,0.000116752
5,36.9037,1.24547,1.00994,0.99721,0.87573,0.86083,0.92678,0.59787,1.30943,1.52551,1.00309,0.000146729,0.000146729,0.000146729
6,41.3288,1.19933,0.86417,0.98838,0.86897,0.86886,0.91675,0.60469,1.25416,1.82243,0.98448,0.000176584,0.000176584,0.000176584
7,46.1002,1.30776,0.8277,0.98258,0.76277,0.81779,0.87816,0.53624,1.39996,1.43248,1.01943,0.000206319,0.000206319,0.000206319
8,49.474,1.18502,0.82945,0.98255,0.87838,0.87522,0.93831,0.60914,1.2493,0.91354,0.97614,0.000235934,0.000235934,0.000235934
9,53.1379,1.2071,0.74815,0.96714,0.93346,0.94435,0.97321,0.65231,1.20375,0.76187,0.95944,0.000265428,0.000265428,0.000265428
10,57.4988,1.11854,0.72013,0.9792,0.94803,0.95608,0.97732,0.66385,1.20379,0.6423,0.96462,0.000294801,0.000294801,0.000294801
11,61.6715,1.11181,0.67267,0.94925,0.93084,0.96114,0.97824,0.65216,1.17972,0.78704,0.95043,0.000324054,0.000324054,0.000324054
12,65.0432,1.0936,0.68103,0.94173,0.98163,0.96689,0.98527,0.66921,1.18915,0.60985,0.95372,0.000353186,0.000353186,0.000353186
13,68.5776,1.13243,0.66938,0.94621,0.97992,0.96015,0.98597,0.66492,1.17602,0.61004,0.95564,0.000382198,0.000382198,0.000382198
14,73.8278,1.1462,0.62907,0.95873,0.98557,0.96865,0.98568,0.6574,1.17626,0.67122,0.95822,0.000411089,0.000411089,0.000411089
15,77.0944,1.08627,0.60225,0.91966,0.96705,0.97403,0.98359,0.65711,1.24798,0.60765,0.97215,0.000422942,0.000422942,0.000422942
16,80.3932,1.1007,0.63988,0.93045,0.97121,0.97149,0.98545,0.682,1.17724,0.59777,0.95023,0.00042208,0.00042208,0.00042208
17,84.2936,1.10556,0.6114,0.93378,0.96836,0.96605,0.98646,0.67697,1.21022,0.61301,0.95782,0.000421219,0.000421219,0.000421219
18,88.6357,1.0561,0.59451,0.93738,0.98546,0.96815,0.98514,0.68466,1.13764,0.57581,0.9422,0.000420358,0.000420358,0.000420358
19,92.2036,1.06471,0.59184,0.93127,0.98787,0.96967,0.98816,0.68836,1.12607,0.55245,0.93593,0.000419497,0.000419497,0.000419497
20,95.6768,1.04015,0.5535,0.91287,0.98569,0.97385,0.98932,0.70013,1.09862,0.53963,0.92473,0.000418635,0.000418635,0.000418635
21,100.025,1.00361,0.55268,0.9239,0.98275,0.97515,0.98688,0.71222,1.06253,0.53821,0.91735,0.000417774,0.000417774,0.000417774
22,104.092,1.03985,0.52693,0.9036,0.9766,0.96768,0.98712,0.69963,1.1067,0.51714,0.92888,0.000416913,0.000416913,0.000416913
23,107.344,1.03344,0.54294,0.91388,0.97324,0.96705,0.98748,0.6929,1.11384,0.52582,0.93124,0.000416051,0.000416051,0.000416051
24,110.629,1.03431,0.51539,0.90255,0.98763,0.9654,0.98746,0.68443,1.14229,0.53492,0.93914,0.00041519,0.00041519,0.00041519
25,115.266,0.98224,0.50839,0.92385,0.9859,0.96383,0.98752,0.69196,1.16053,0.52922,0.94695,0.000414329,0.000414329,0.000414329
